==========================================================================================
TOP FEATURES BY IMPORTANCE
==========================================================================================

Rank  Feature                                      Importance     % Total     Cumulative %
------------------------------------------------------------------------------------------
1     price_to_low                                 0.010800       38.32       38.32       
2     lower_low                                    0.002983       10.59       48.91       
3     cci_14                                       0.002633       9.34        58.25       
4     risk_score                                   0.001183       4.20        62.45       
5     lower_shadow_relative                        0.001150       4.08        66.53       
6     hl_ratio                                     0.001150       4.08        70.61       
7     keltner_width                                0.000800       2.84        73.45       
8     bb_width_ratio_50                            0.000717       2.54        75.99       
9     higher_low                                   0.000717       2.54        78.53       
10    inside_bar                                   0.000650       2.31        80.84       
11    ultimate_oscillator                          0.000433       1.54        82.38       
12    atr_pct                                      0.000350       1.24        83.62       
13    dc_position_50                               0.000333       1.18        84.80       
14    fib_0_100                                    0.000317       1.12        85.93       
15    price_volume_divergence                      0.000300       1.06        86.99       
16    lower_high                                   0.000283       1.01        88.00       
17    zscore_50                                    0.000283       1.01        89.00       
18    atr_percent_14                               0.000250       0.89        89.89       
19    volatility_30                                0.000200       0.71        90.60       
20    volatility_10                                0.000183       0.65        91.25       
21    tech_rating                                  0.000167       0.59        91.84       
22    log_price                                    0.000167       0.59        92.43       
23    rsi_7                                        0.000167       0.59        93.02       
24    range_expansion                              0.000167       0.59        93.61       
25    volume_percentile                            0.000150       0.53        94.15       
26    dist_to_resistance                           0.000133       0.47        94.62       
27    atr_percent_20                               0.000133       0.47        95.09       
28    higher_high                                  0.000133       0.47        95.56       
29    rsi_14                                       0.000133       0.47        96.04       
30    williams_r_14                                0.000100       0.35        96.39       
31    volatility_20                                0.000100       0.35        96.75       
32    body_position                                0.000100       0.35        97.10       
33    stoch_k_21                                   0.000067       0.24        97.34       
34    rsi_21                                       0.000067       0.24        97.58       
35    high_low_range                               0.000050       0.18        97.75       
36    di_diff_20                                   0.000050       0.18        97.93       
37    stoch_k                                      0.000050       0.18        98.11       
38    stoch_d_21                                   0.000050       0.18        98.29       
39    cci                                          0.000050       0.18        98.46       
40    trend_direction_10                           0.000033       0.12        98.58       
41    minus_di                                     0.000017       0.06        98.64       
42    price_vs_donchian                            0.000017       0.06        98.70       
43    outside_bar                                  0.000017       0.06        98.76       
44    body_pct                                     0.000000       0.00        98.76       
45    bb_pct                                       0.000000       0.00        98.76       
46    high_low_pct                                 0.000000       0.00        98.76       
47    price_zscore                                 0.000000       0.00        98.76       
48    stoch_overbought                             0.000000       0.00        98.76       
49    rsi_14_oversold                              0.000000       0.00        98.76       
50    bb_position_20                               0.000000       0.00        98.76       
51    price_above_sma20                            0.000000       0.00        98.76       
52    candles_above_ma                             0.000000       0.00        98.76       
53    momentum_score                               0.000000       0.00        98.76       
54    stoch_d_14                                   0.000000       0.00        98.76       
55    stoch_d                                      0.000000       0.00        98.76       
56    price_above_cloud                            0.000000       0.00        98.76       
57    close_position                               0.000000       0.00        98.76       
58    buy_signal_strength                          0.000000       0.00        98.76       
59    rsi_uptrend                                  0.000000       0.00        98.76       
60    bb_width_ratio_20                            0.000000       0.00        98.76       
61    williams_r_28                                0.000000       0.00        98.76       
62    di_diff_14                                   0.000000       0.00        98.76       
63    sar_signal                                   0.000000       0.00        98.76       
64    price_above_ema20                            0.000000       0.00        98.76       
65    rsi_7_oversold                               0.000000       0.00        98.76       
66    stoch_k_14                                   0.000000       0.00        98.76       
67    williams_r                                   0.000000       0.00        98.76       
68    dc_position_20                               0.000000       0.00        98.76       
69    sr_position_20                               0.000000       0.00        98.76       
70    rsi_7_overbought                             0.000000       0.00        98.76       
71    stoch_oversold                               0.000000       0.00        98.76       
72    rsi_21_oversold                              0.000000       0.00        98.76       
73    sr_position_50                               0.000000       0.00        98.76       
74    vwap_signal                                  0.000000       0.00        98.76       
75    bb_position_50                               0.000000       0.00        98.76       
76    sell_signal_strength                         0.000000       0.00        98.76       
77    rsi_downtrend                                0.000000       0.00        98.76       
78    rsi_oversold                                 0.000000       0.00        98.76       
79    near_resistance                              0.000000       0.00        98.76       
80    minus_di_20                                  -0.000017      -0.06       98.70       
81    bb_width                                     -0.000017      -0.06       98.64       
82    price_to_high                                -0.000017      -0.06       98.58       
83    kc_position_20                               -0.000017      -0.06       98.52       
84    minus_di_14                                  -0.000033      -0.12       98.40       
85    cci_20                                       -0.000033      -0.12       98.29       
86    body_relative                                -0.000050      -0.18       98.11       
87    zscore_20                                    -0.000167      -0.59       97.52       

==========================================================================================
Top 10 features account for: 80.84%
Top 20 features account for: 91.25%
Top 50 features account for: 98.76%
