==========================================================================================
TOP FEATURES BY IMPORTANCE
==========================================================================================

Rank  Feature                                      Importance     % Total     Cumulative %
------------------------------------------------------------------------------------------
1     price_to_low                                 0.011850       38.64       38.64       
2     lower_low                                    0.004183       13.64       52.28       
3     momentum_5                                   0.002183       7.12        59.40       
4     lower_shadow_relative                        0.002067       6.74        66.14       
5     cci_14                                       0.001500       4.89        71.03       
6     hl_ratio                                     0.001467       4.78        75.82       
7     higher_low                                   0.000967       3.15        78.97       
8     dc_lower_50                                  0.000633       2.07        81.03       
9     inside_bar                                   0.000600       1.96        82.99       
10    lower_high                                   0.000383       1.25        84.24       
11    outside_bar                                  0.000317       1.03        85.27       
12    ema_ratio_20_50                              0.000300       0.98        86.25       
13    stoch_d                                      0.000283       0.92        87.17       
14    volume_percentile                            0.000250       0.82        87.99       
15    body_position                                0.000200       0.65        88.64       
16    dist_to_resistance                           0.000150       0.49        89.13       
17    close_position                               0.000150       0.49        89.62       
18    williams_r_28                                0.000117       0.38        90.00       
19    ema_200                                      0.000100       0.33        90.33       
20    high_low_range                               0.000100       0.33        90.65       
21    stoch_k_14                                   0.000083       0.27        90.92       
22    rsi_7                                        0.000050       0.16        91.09       
23    atr_pct                                      0.000050       0.16        91.25       
24    stoch_d_21                                   0.000050       0.16        91.41       
25    sma50_sma200                                 0.000050       0.16        91.58       
26    cci                                          0.000033       0.11        91.68       
27    higher_high                                  0.000033       0.11        91.79       
28    volatility_10                                0.000017       0.05        91.85       
29    cci_20                                       0.000017       0.05        91.90       
30    price_to_high                                0.000017       0.05        91.96       
31    support_50                                   0.000000       0.00        91.96       
32    rsi_oversold                                 0.000000       0.00        91.96       
33    sell_signal_strength                         0.000000       0.00        91.96       
34    rsi_downtrend                                0.000000       0.00        91.96       
35    price_volume_divergence                      0.000000       0.00        91.96       
36    body_pct                                     0.000000       0.00        91.96       
37    atr_percent_14                               0.000000       0.00        91.96       
38    high_low_pct                                 0.000000       0.00        91.96       
39    price_above_ema20                            0.000000       0.00        91.96       
40    dc_position_20                               0.000000       0.00        91.96       
41    stoch_k_21                                   0.000000       0.00        91.96       
42    near_resistance                              0.000000       0.00        91.96       
43    rsi_7_overbought                             0.000000       0.00        91.96       
44    sr_position_20                               0.000000       0.00        91.96       
45    kc_position_20                               0.000000       0.00        91.96       
46    momentum_score                               0.000000       0.00        91.96       
47    stoch_d_14                                   0.000000       0.00        91.96       
48    williams_r                                   0.000000       0.00        91.96       
49    stoch_k                                      0.000000       0.00        91.96       
50    price_zscore                                 0.000000       0.00        91.96       
51    rsi_7_oversold                               0.000000       0.00        91.96       
52    bb_pct                                       0.000000       0.00        91.96       
53    bb_position_20                               0.000000       0.00        91.96       
54    ema50_ema200                                 0.000000       0.00        91.96       
55    stoch_oversold                               0.000000       0.00        91.96       
56    stoch_overbought                             0.000000       0.00        91.96       
57    rsi_uptrend                                  0.000000       0.00        91.96       
58    price_above_sma20                            0.000000       0.00        91.96       
59    sar_signal                                   0.000000       0.00        91.96       
60    candles_above_ma                             0.000000       0.00        91.96       
61    bb_width_ratio_20                            0.000000       0.00        91.96       
62    rsi_14                                       -0.000017      -0.05       91.90       
63    di_diff_14                                   -0.000017      -0.05       91.85       
64    bb_width                                     -0.000033      -0.11       91.74       
65    trend_direction_10                           -0.000033      -0.11       91.63       
66    body_relative                                -0.000033      -0.11       91.52       
67    log_price                                    -0.000033      -0.11       91.41       
68    price_dist_ema200                            -0.000033      -0.11       91.30       
69    williams_r_14                                -0.000033      -0.11       91.20       
70    price_vs_donchian                            -0.000033      -0.11       91.09       
71    fib_236_100                                  -0.000050      -0.16       90.92       
72    zscore_20                                    -0.000050      -0.16       90.76       
73    atr_percent_20                               -0.000050      -0.16       90.60       
74    volatility_30                                -0.000067      -0.22       90.38       
75    median_price                                 -0.000083      -0.27       90.11       
76    consecutive_red                              -0.000083      -0.27       89.84       
77    volume_zscore                                -0.000083      -0.27       89.57       
78    fib_0_100                                    -0.000100      -0.33       89.24       
79    minus_di_14                                  -0.000100      -0.33       88.91       
80    keltner_width                                -0.000133      -0.43       88.48       
81    ema_ratio_50_200                             -0.000167      -0.54       87.93       
82    volatility_20                                -0.000167      -0.54       87.39       
83    range_expansion                              -0.000200      -0.65       86.74       
84    minus_di                                     -0.000217      -0.71       86.03       
85    bb_width_ratio_50                            -0.000233      -0.76       85.27       
86    sma_200                                      -0.000417      -1.36       83.91       

==========================================================================================
Top 10 features account for: 84.24%
Top 20 features account for: 90.65%
Top 50 features account for: 91.96%
