==========================================================================================
TOP FEATURES BY IMPORTANCE
==========================================================================================

Rank  Feature                                      Importance     % Total     Cumulative %
------------------------------------------------------------------------------------------
1     price_to_low                                 0.009967       43.18       43.18       
2     lower_low                                    0.002950       12.78       55.96       
3     momentum_5                                   0.001183       5.13        61.08       
4     lower_shadow_relative                        0.000933       4.04        65.13       
5     cci_14                                       0.000767       3.32        68.45       
6     atr_pct                                      0.000567       2.45        70.90       
7     fib_0_50                                     0.000483       2.09        73.00       
8     hl_ratio                                     0.000383       1.66        74.66       
9     volatility_10                                0.000367       1.59        76.25       
10    keltner_width                                0.000350       1.52        77.76       
11    fib_0_100                                    0.000333       1.44        79.21       
12    high_low_pct                                 0.000317       1.37        80.58       
13    volatility_30                                0.000283       1.23        81.81       
14    sma_200                                      0.000283       1.23        83.03       
15    lower_high                                   0.000250       1.08        84.12       
16    fib_382_100                                  0.000233       1.01        85.13       
17    bb_width_ratio_50                            0.000233       1.01        86.14       
18    stoch_k_21                                   0.000183       0.79        86.93       
19    ema_ratio_50_200                             0.000167       0.72        87.65       
20    ema_ratio_20_50                              0.000167       0.72        88.38       
21    price_to_high                                0.000167       0.72        89.10       
22    vwap                                         0.000150       0.65        89.75       
23    support_50                                   0.000133       0.58        90.32       
24    atr_percent_14                               0.000100       0.43        90.76       
25    minus_di_14                                  0.000100       0.43        91.19       
26    fib_236_100                                  0.000083       0.36        91.55       
27    sma50_sma200                                 0.000067       0.29        91.84       
28    ema200_price                                 0.000067       0.29        92.13       
29    bb_pct                                       0.000067       0.29        92.42       
30    dist_to_resistance                           0.000050       0.22        92.64       
31    bb_width                                     0.000033       0.14        92.78       
32    outside_bar                                  0.000033       0.14        92.92       
33    williams_r_28                                0.000033       0.14        93.07       
34    sma_100                                      0.000033       0.14        93.21       
35    williams_r_14                                0.000033       0.14        93.36       
36    rsi_14                                       0.000017       0.07        93.43       
37    price_dist_ema200                            0.000017       0.07        93.50       
38    weighted_close                               0.000017       0.07        93.57       
39    candles_above_ma                             0.000000       0.00        93.57       
40    stoch_oversold                               0.000000       0.00        93.57       
41    inside_bar                                   0.000000       0.00        93.57       
42    ema50_ema200                                 0.000000       0.00        93.57       
43    log_price                                    0.000000       0.00        93.57       
44    high_low_range                               0.000000       0.00        93.57       
45    rsi_downtrend                                0.000000       0.00        93.57       
46    bb_width_ratio_20                            0.000000       0.00        93.57       
47    price_above_ema20                            0.000000       0.00        93.57       
48    stoch_d_14                                   0.000000       0.00        93.57       
49    bb_position_20                               0.000000       0.00        93.57       
50    zscore_20                                    0.000000       0.00        93.57       
51    price_zscore                                 0.000000       0.00        93.57       
52    cci_20                                       0.000000       0.00        93.57       
53    body_pct                                     0.000000       0.00        93.57       
54    median_price                                 0.000000       0.00        93.57       
55    typical_price                                0.000000       0.00        93.57       
56    dc_lower_50                                  0.000000       0.00        93.57       
57    rsi_uptrend                                  0.000000       0.00        93.57       
58    price_volume_divergence                      0.000000       0.00        93.57       
59    rsi_7_overbought                             0.000000       0.00        93.57       
60    sr_position_20                               0.000000       0.00        93.57       
61    price_above_sma20                            0.000000       0.00        93.57       
62    rsi_7_oversold                               0.000000       0.00        93.57       
63    near_resistance                              0.000000       0.00        93.57       
64    stoch_k                                      0.000000       0.00        93.57       
65    williams_r                                   0.000000       0.00        93.57       
66    stoch_d                                      0.000000       0.00        93.57       
67    dc_position_20                               0.000000       0.00        93.57       
68    body_position                                0.000000       0.00        93.57       
69    sar_signal                                   0.000000       0.00        93.57       
70    stoch_d_21                                   0.000000       0.00        93.57       
71    momentum_score                               -0.000017      -0.07       93.50       
72    kc_position_20                               -0.000017      -0.07       93.43       
73    trend_direction_10                           -0.000033      -0.14       93.29       
74    volatility_20                                -0.000050      -0.22       93.07       
75    rsi_7                                        -0.000050      -0.22       92.85       
76    atr_percent_20                               -0.000067      -0.29       92.56       
77    sma200_price                                 -0.000067      -0.29       92.27       
78    price_vs_donchian                            -0.000083      -0.36       91.91       
79    ema_200                                      -0.000083      -0.36       91.55       
80    stoch_k_14                                   -0.000083      -0.36       91.19       
81    range_expansion                              -0.000100      -0.43       90.76       
82    cci                                          -0.000133      -0.58       90.18       
83    higher_low                                   -0.000183      -0.79       89.39       
84    vwap_signal                                  -0.000183      -0.79       88.59       
85    minus_di                                     -0.000333      -1.44       87.15       

==========================================================================================
Top 10 features account for: 77.76%
Top 20 features account for: 88.38%
Top 50 features account for: 93.57%
